0.0	-2.2	-2.0	-1.8	-1.6	-1.4	-1.2	-1.0	-0.8	-0.6	-0.4	-0.2	0.0	0.2	0.4	0.6	0.8	1.0	1.2	1.4	1.6	1.8	2.0	2.2	2.4	2.6	2.8	3.0
-3.8	5.253848638906612	5.245559371021983	5.233828864362863	5.217508121860506	5.195219518303339	5.165404627491344	5.126436323612528	5.076807122700846	5.015383699848516	4.941680774359952	4.856067714127481	4.7598058577077635	4.654855414259009	4.543491290698401	4.427873695214636	4.309745798003388	4.190343548537198	4.070473815165625	3.950653247537085	3.8312273726659227	3.7124469031595817	3.594510966459246	3.4775913728009615	3.361846754915198	3.247431036685495	3.1344985052693026	3.0232067381573913
-3.6	5.001339641253354	4.993252829035393	4.98175434807343	4.965699056889867	4.943713643692288	4.914244511996174	4.87566995239334	4.826488566538842	4.765573875829504	4.692448298791889	4.607489835898258	4.511969446697112	4.407857971140805	4.297441947597013	4.1828941902952845	4.065971421966049	3.9479240659607506	3.8295743547387624	3.71145513954554	3.593928898927693	3.4772639167586847	3.3616773340292476	3.2473591885368607	3.134486272076182	3.023230259738454	2.9137623847089023	2.8062559109907816
-3.4	4.749295540711824	4.741475971673407	4.73028317180531	4.714576804987352	4.692988897869591	4.663971792481756	4.625910401211347	4.577310730313517	4.517054599204693	4.444673726759726	4.360556503385623	4.265985412495627	4.162943940692021	4.053732334408217	3.940538088289976	3.8251334859750306	3.7087853067323286	3.5923328428512495	3.476326590317891	3.361147092343451	3.247080897664134	3.1343633347804767	3.0232022151564246	2.913791294857094	2.8063179506699845	2.700967348004102	2.597924360172199
-3.2	4.497864348369738	4.49039625736537	4.479604651823607	4.464355082006637	4.443286091681977	4.4148571906709515	4.377461234584933	4.329613063373673	4.2702043557939	4.198777845482045	4.1157341863383605	4.022369397557953	3.9206817086097914	3.8129871715198416	3.7014899626891102	3.587979736407377	3.473741160592451	3.359631763495878	3.2462204223034465	3.133905948775728	3.0229927245347334	2.9137330875528997	2.806350586671546	2.7010529391022	2.598039154896927	2.4975031169621364	2.3996348916480383
-3.0	4.247236702699846	4.240228982536433	4.2299616786266085	4.215307478144094	4.194912665134345	4.167245226739047	4.130707319288426	4.0838240602022555	4.02549855162692	3.9552862555035593	3.8736019594220132	3.7817572121512435	3.681767020343529	3.5759651909111034	3.4665743022257423	3.3554027348071744	3.243753922744345	3.1325039333222415	3.0222396603799875	2.913377053187118	2.806236324271968	2.7010838440339584	2.5981548506493923	2.497665823985397	2.3998210041455135	2.3048153636108615	2.212835332547014
-2.8	3.9976555079229668	3.991248005562963	3.981662676456166	3.967780595702771	3.9482570602578724	3.921569771388854	3.886131432846551	3.840478729052088	3.783527568712822	3.714847664688173	3.6348696141785712	3.5449222785760472	3.447039211198128	3.3435735471248385	3.236767438074723	3.128448575526841	3.019939016636855	2.9121323922357667	2.8056317163357547	2.700867171887691	2.5981708073681884	2.4978178670380076	2.400048905923209	2.305081562541387	2.2131164964500774	2.124339829045116	2.038923419386214
-2.6	3.7494261511391995	3.7437970870641823	3.735094148633794	3.7222079594217736	3.703803910207387	3.6783703925129534	3.644331547878564	3.6002364887692893	3.545014842933572	3.4782516155182024	3.4003944159076385	3.312790725261713	3.217493887595248	3.1168772891272263	3.01320297079486	2.908317400102164	2.803559707023993	2.699838424795782	2.5977688565010517	2.49779037306912	2.4002405673370384	2.3053960132595877	2.2134938170809835	2.124742869134497	2.0393293385812643	1.9574187850032791	1.8791562535540522
-2.4	3.502926297038589	3.4983006144531346	3.4907326448030602	3.479123264532163	3.462148537994616	3.4383079063841024	3.406037093529062	3.3638976517031622	3.310832938016258	3.24644339380492	3.171193990689744	3.0864513273166616	2.99428895962584	2.8971005129716874	2.7971670810352216	2.696351932243535	2.596007976875861	2.4970539809982486	2.4001114973268898	2.3056217122892484	2.213919118443653	2.125271799963927	2.039902567884755	1.9579998989975136	1.8797232604056122	1.8052052285277538	1.7345517982219683
-2.2	3.25861387362682	3.255271665984164	3.2491536463965596	3.2391704019252785	3.2240081028195977	3.2021763876275133	3.172121354852886	3.132415534906201	3.082014506896123	3.020532827999348	2.948451848276227	2.8671565938617434	2.7787401457957634	2.685615197011901	2.590079705629191	2.4940101339680707	2.398767965752044	2.3052754056813876	2.2141519952064614	2.1258311738871662	2.0406336645788836	1.9588075199390658	1.8805491296412848	1.8060141923625155	1.735323271020274	1.6685643645835262	1.6057939043086358
