# Finite-temperature QED corrections to the n<->p weak rates.
# Brown & Sawyer / Pitrou et al. Phys. Rep. 754 eq. 107, computed by
# Cosmic.generate_thermal_cache() -- delete this file to recompute.
# T_gamma [MeV]        Lambda_th(n->p)        Lambda_th(p->n)
0.017694703772379687  1.0679420964137796e-6  8.227191937278783e-37
0.01924935840924519  1.3561133367378116e-6  3.6281924726800904e-34
0.020940604823572392  1.7311948120939796e-6  9.895649780841137e-32
0.022780443953207996  2.2222138320145637e-6  1.7344301254881009e-29
0.024781931137016714  2.8679560180810634e-6  2.023625904500357e-27
0.02695926875443326  3.7204396272939012e-6  1.6234678342814928e-25
0.029327907004314868  4.849645344801128e-6  9.227066866491144e-24
0.031904653538212153  6.349968507462864e-6  3.818999147178459e-22
0.03470779272600646  8.349108661038622e-6  1.1807425093453495e-20
0.03775721540021243  1.1020525406234087e-5  2.792069375206325e-19
0.0410745599996002  1.4601257508792587e-5  5.1616709836493836e-18
0.04468336611367966  1.941789469077402e-5  7.614377510117603e-17
0.04860924151758584  2.5924779542526292e-5  9.13607638579868e-16
0.052880043882629735  3.4759867468579604e-5  9.076297972962539e-15
0.057526078451917435  4.682457245292733e-5  7.590393140789698e-14
0.06258031308372643  6.339360121387132e-5  5.425421260528159e-13
0.06807861218856788  8.625833329308375e-5  3.3607909603111925e-12
0.07405999121993283  0.00011790194689945717  1.827109096326141e-11
0.08056689352456536  0.00016169574313561606  8.81906905846252e-11
0.08764549151676955  0.0002220939883803398  3.820585652101044e-10
0.09534601431385607  0.0003047897661962077  1.5012545636104378e-9
0.10372310415760122  0.0004167785222095424  5.40644562595926e-9
0.11283620415085488  0.0005662622926098347  1.8026098005566797e-8
0.1227499800606416  0.0007623201144072607  5.616231616084439e-8
0.13353477918083392  0.0010142710721392746  1.647382005758395e-7
0.14526712951044762  0.0013306633453565708  4.57193102779137e-7
0.15803028278968373  0.0017178240736502835  1.203184547783591e-6
0.17191480524705563  0.002177884955291602  3.002860558202792e-6
0.18701922024949014  0.0027061450345677745  7.100321665351456e-6
0.20345070741559257  0.0032875457263638742  1.5889198278074057e-5
0.22132586315292319  0.0038919413892556046  3.363599629825473e-5
0.24077152801599072  0.00446782017133918  6.738056919121597e-5
0.2619256867558244  0.0049342129125298576  0.00012785258542123416
0.28493844744779734  0.005169343510154269  0.00023003598005423654
0.30997310664550837  0.00499751019537469  0.00039304059017762773
0.3372073081189607  0.004171576734687391  0.0006382921768271221
0.3668343033993442  0.0023018015287598614  0.0009843856486205533
0.39906432307513684  -0.001005027700130466  0.0014423863104951608
0.4341260685701235  -0.0062567540971157475  0.0020052504198156984
0.4722683349888604  -0.014004209294994765  0.002639324237397386
0.5137617765451551  -0.024734573150206052  0.00328306516426167
0.5589008271008893  -0.038653799241343656  0.003869233361241802
0.6080057894431613  -0.055268303369985214  0.0044030644299994145
0.6614251081250792  -0.07262120597788883  0.005158413331409893
0.7195378419980821  -0.08593874027193533  0.007106660187173708
0.7827563539806696  -0.08530087065165695  0.012781687289565087
0.8515292371498986  -0.05166702907848292  0.02794404177625443
0.9263444979189464  0.049772717465921795  0.06466287714791763
1.0077330188882838  0.28066613492119896  0.14688685512129085
1.0962723259425577  0.7477280344260728  0.3203011926190993
1.1925906863241695  1.6325934289445623  0.6694943209434864
1.2973715667631271  3.2404377156377278  1.3474626400196157
1.4113584832976733  6.0787790196653715  2.625760964746405
1.535360277199596  10.984710855119173  4.978960581403526
1.670256854441728  19.329578473441476  9.225734556392235
1.817005429434403  33.34735431682338  16.762955651667127
1.9766473173358752  56.65990678778479  29.95170714861062
2.150315323134353  95.11531410425769  52.750414932588136
2.3392417799339285  158.12351664505115  91.74870183148371
2.5447672934833827  260.7793687042463  157.84796664693476
2.7683502549982886  427.2311777200517  268.9826005488444
3.0115771897785644  696.019677119056  454.51274043756234
3.2761740150543783  1128.530341785595  762.2952502433748
3.5640182869450974  1822.335790094377  1270.019638262535
3.877152523434635  2932.277264317584  2103.364833196023
4.21779869790189  4703.695142558973  3464.985949401941
4.588374006051093  7524.739667119562  5680.677698997289
4.99150801812284  12008.772286270312  9272.848390588257
5.430061338096414  19123.737066822527  15077.015074535628
5.907145902287476  30395.655774190265  24426.622063869916
6.426147061378213  48227.59284146881  39445.12435061546
6.990747602572111  76400.531519429  63507.954520058
7.604953882332485  120857.38267632846  101970.61617989777
8.273124255140397  190932.2464727782  163317.16709360134
9.000000000000002  301272.2204848075  260966.09218487347
