# Neutrino decoupling history, from Cosmic.neff().
# N_eff = 3.042810343091757
# ln a   T_gamma [MeV]   T_nue [MeV]   T_numu [MeV]
0.0  10.0  10.0  10.0
0.0017819230524077424  9.982198519029776  9.982197019417512  9.982196768017637
0.002604496111374569  9.973991571265936  9.973989641873743  9.97398920707845
0.0041986481700268365  9.958105531877413  9.958103020157624  9.958102243589169
0.005545575919326593  9.944702761790788  9.944699918534642  9.944698901502496
0.007435595194769047  9.925926207542059  9.925923045584742  9.925921772471241
0.00942996708900981  9.906151314378564  9.906147930563996  9.90614647056942
0.01199746114026563  9.880751635981444  9.880748068359965  9.880746453408522
0.014952297698239496  9.851600628965167  9.851596901893936  9.851595177576312
0.01723496783283825  9.829139794758605  9.829135970842138  9.829134182320063
0.02038451512195787  9.79823315547426  9.798229243242927  9.79822739304923
0.02380995760839455  9.764729445953051  9.76472546589098  9.764723571630618
0.028386613688521117  9.720144609702704  9.720140559029844  9.720138624045722
0.03374004717085572  9.668250838908971  9.66824671673654  9.668244744735631
0.04029956232037231  9.605043500561472  9.605039241884036  9.605037219376843
0.044690635930721534  9.562962335794657  9.562957992467874  9.562955921526733
0.04953146869205378  9.51678460076574  9.51678018247992  9.516778071311593
0.05527388808512074  9.462295511017818  9.462291011999982  9.462288860363458
0.06202132948662206  9.398668522259161  9.398663874290305  9.398661667741457
0.06696187398575001  9.352351755248492  9.352347005563406  9.352344741660655
0.07201638885980759  9.30520273765232  9.305197903423242  9.305195594950254
0.07801658697620698  9.249540777526448  9.249535851413736  9.249533497151774
0.08501516245400237  9.185037819377198  9.185032727868698  9.185030312316863
0.09017600649696429  9.137760867261116  9.13775566054934  9.13775318103839
0.09544481762610667  9.089745887674317  9.089740584697948  9.089738054589333
0.10177733738959958  9.032371013119418  9.032365603849083  9.032363020825985
0.10928253642635113  8.9648401432375  8.964834543993206  8.964831889787881
0.11466360611046898  8.916733002158614  8.916727273150837  8.91672454766005
0.12025601072129233  8.86701005771532  8.867004217140645  8.867001433141278
0.12701306815590133  8.807301782465949  8.807295817365688  8.807292971531702
0.13517832938453805  8.73568637380359  8.735680186757861  8.735677256787465
0.14084048583013314  8.686367343391497  8.686361008741812  8.686357998384592
0.1468357271945698  8.634450511826438  8.634444046263178  8.63444096753302
0.15408854735315175  8.572058068287276  8.57205145547248  8.572048303891384
0.15703161104016802  8.546869202836318  8.546862467461564  8.546859278240028
0.15903814365671387  8.529738296012255  8.529731492758343  8.529728271648636
0.16344004118855757  8.492276989594531  8.492270062804765  8.49226677604308
0.16710009367131665  8.46125428355633  8.461247266695484  8.461243932068243
0.17303783573555567  8.411166707207832  8.41115955451087  8.411156150675763
0.17980377447017215  8.35445434302318  8.354446970663295  8.354443484066463
0.18403759476563453  8.31916103193925  8.319153516284747  8.31914995837072
0.18953449099780612  8.273561023043825  8.273553354281496  8.273549714698799
0.19560007341910016  8.223533459474066  8.223525637799597  8.22352192010172
0.20382981291319346  8.156139857851487  8.156131752119512  8.156127924033216
0.2089960719384709  8.1141157531121  8.11410746691805  8.114103546527364
0.2152661645759458  8.063403455603854  8.063394985135993  8.063390967723983
0.22248988046981397  8.005371104897037  8.005362438520198  8.005358322909112
0.22805612916797138  7.960939324602161  7.960930445412478  7.960926251645807
0.23171344975775623  7.931879688728219  7.931870654251797  7.9318663903983815
0.2371124243085655  7.889175314411412  7.8891660909787555  7.8891617286923585
0.24253740145734354  7.846496854530777  7.846487461106815  7.846483010917569
0.25010571398399883  7.787342293049214  7.7873325882170645  7.787328015237588
0.2547868113999004  7.7509779664493275  7.750968059490102  7.7509633885443225
0.2611074996478345  7.702146049458724  7.702135912913252  7.702131121629941
0.2678052052947857  7.650737096439113  7.650726737445047  7.650721833264933
0.27506399015243294  7.595409041670513  7.595398362521433  7.59539333446794
0.2795871996879273  7.561134761151762  7.56112386719207  7.561118738714264
0.28599913695993645  7.512813644155006  7.512802492633624  7.512797230852538
0.292549808027221  7.46376592009571  7.463754527947136  7.463749144039273
0.2994196373134081  7.412672606250051  7.412660883688821  7.412655371459538
0.30369155849004664  7.381077447994064  7.381065500402114  7.381059886193722
0.31014671632320384  7.333590366774671  7.333578130601223  7.333572368710823
0.3164683556170491  7.28738164101652  7.287369147202116  7.287363254254201
0.32223165566952366  7.245508037125952  7.245495239192738  7.245489228156095
0.32585647803154444  7.21929508867407  7.219282074754163  7.219275971211838
0.33203910308548945  7.1748039926101965  7.174790665716238  7.17478440548736
0.3377007050638806  7.134302814932133  7.134289229322143  7.13428283679842
0.3440324945118401  7.0892782274152735  7.089264278792843  7.089257741260821
0.34787992567020337  7.062058594502884  7.0620444002183875  7.062037755750122
0.3544609496272391  7.01574151630743  7.015726962273446  7.015720137490343
0.36045583908286244  6.973814101214858  6.973799249796772  6.973792273503724
0.3635621056979706  6.952187964395611  6.952172964492599  6.952165913827099
0.3695752484942193  6.910514365911821  6.910498997357694  6.910491801720184
0.37217098445056584  6.892602166857005  6.892586613994794  6.892579343210531
0.3782544188095786  6.85080437286739  6.850788442763202  6.850780991567474
0.38306217736441106  6.81795083531515  6.817934635633612  6.817927048258909
0.38963226593137956  6.773309155845696  6.773292606874259  6.773284844483395
0.394142748272843  6.742831356696391  6.742814441946271  6.742806549157554
0.3968268134472828  6.72475998174709  6.724742870665425  6.724734891321335
0.403429884759531  6.680508446109649  6.680490903148919  6.680482712392074
0.4085699707367565  6.646263015868365  6.646245163771362  6.6462368171987904
0.4140205974026331  6.610140500008997  6.610122248082618  6.610113739490281
0.417081108855543  6.589944017361221  6.589925507973338  6.589916894838767
0.423757305053069  6.546101300038049  6.546082298946932  6.546073452019185
0.42917528409603617  6.510735829727018  6.510716466684518  6.510707438066929
0.43354346356037116  6.48236203113145  6.482342388726411  6.482333220319966
0.4385848173012536  6.449769360712383  6.449749322026826  6.449739994214541
0.44103362645702954  6.433996899097924  6.433976635307257  6.433967219834907
0.4474729362577218  6.392705960105704  6.392685170724121  6.392675514644032
0.45232694374553223  6.361755757943304  6.361734608417259  6.3617247746429975
0.4600766192479906  6.3126524750412205  6.3126307815581955  6.312620677885227
